,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
,1,USA,"40,330,712",,"659,927 ",,"31,137,936",,"8,532,849","25,598","121,016","1,980","586,680,183","1,760,387","333,267,823 ",North America,85051,,,"25,604",
,2,India,"32,857,937","+1,074","439,559 ",,"32,028,825","+7,728","389,553","8,944","23,540",315,"524,868,734","376,027","1,395,827,756 ",Asia,"423,1763",0.8,,279,
,3,Brazil,"20,804,215",,"581,228 ",,"19,775,873",,"447,114","8,318","97,070","2,712","56,897,224","265,475","214,322,393 ",South America,103694,,,"2,086",
,4,Russia,"6,937,333",,"184,014 ",,"6,199,379",,"553,940","2,300","47,514","1,260","179,100,000","1,226,649","146,007,547 ",Europe,217931,,,"3,794",
,5,UK,"6,825,074",,"132,742 ",,"5,502,108",,"1,190,224","1,014","99,925","1,943","270,870,957","3,965,771","68,302,217 ",Europe,105150,,,"17,426",
,6,France,"6,783,329",,"114,577 ",,"6,284,406",,"384,346","2,270","103,654","1,751","124,769,146","1,906,556","65,442,161 ",Europe,105711,,,"5,873",
,7,Turkey,"6,412,277",,"57,000 ",,"5,852,381",,"502,896",633,"75,088",667,"76,740,334","898,627","85,397,309 ",Asia,"131,4981",,,"5,889",
,8,Argentina,"5,190,948",,"112,005 ",,"4,878,099",,"200,844","2,602","113,638","2,452","22,216,037","486,346","45,679,507 ",South America,94082,,,"4,397",
,9,Iran,"5,025,233",,"108,393 ",,"4,237,315",,"679,525","7,860","58,950","1,272","28,213,229","330,962","85,246,093 ",Asia,177863,,,"7,971",
,10,Colombia,"4,911,082",,"125,016 ",,"4,740,709",,"45,357",542,"95,332","2,427","24,217,542","470,104","51,515,310 ",South America,104122,,,880,
,11,Spain,"4,861,883",,"84,472 ",,"4,381,350",,"396,061","1,518","103,940","1,806","60,618,810","1,295,940","46,775,929 ",Europe,105541,,,"8,467",
,12,Italy,"4,546,487",,"129,290 ",,"4,280,619",,"136,578",540,"75,325","2,142","84,339,436","1,397,321","60,357,964 ",Europe,134671,,,"2,263",
,13,Indonesia,"4,100,138",,"133,676 ",,"3,776,891",,"189,571",,"14,807",483,"32,436,136","117,142","276,896,388 ",Asia,"682,0719",,,685,
,14,Germany,"3,970,033",,"92,757 ",,"3,750,700","+6,100","126,576","1,135","47,208","1,103","68,329,706","812,513","84,096,714 ",Europe,219071,,,"1,505",
,15,Mexico,"3,369,747","+17,337","260,503 ","+1,177","2,715,043","+14,311","394,201","4,798","25,819","1,996","9,803,728","75,117","130,512,404 ",North America,3950113,133,9,"3,020",
,16,Poland,"2,889,036",,"75,358 ",,"2,657,084",,"156,594",55,"76,433","1,994","19,819,235","524,344","37,798,189 ",Europe,135022,,,"4,143",
,17,South Africa,"2,787,203",,"82,496 ",,"2,560,605",,"144,102",546,"46,314","1,371","16,536,206","274,778","60,180,348 ",Africa,227294,,,"2,395",
,18,Ukraine,"2,290,848","+2,477","53,877 ",+44,"2,209,754",+889,"27,217",177,"52,752","1,241","12,031,985","277,065","43,426,647 ",Europe,198064,57,1,627,
,19,Peru,"2,151,010",,"198,329 ",,N/A,N/A,N/A,"1,256","64,196","5,919","16,793,799","501,201","33,507,122 ",South America,161692,,,"6,924",
,20,Philippines,"2,003,955",,"33,533 ",,"1,829,473",,"140,949","3,050","18,008",301,"18,799,732","168,939","111,280,999 ",Asia,"563,3196",,,"1,267",
,21,Netherlands,"1,943,882",,"18,012 ",,"1,851,897",,"73,973",206,"113,154","1,048","16,593,808","965,928","17,179,142 ",Europe,99541,,,"4,306",
,22,Iraq,"1,895,459",,"20,878 ",,"1,741,493",,"133,088",932,"45,925",506,"14,393,597","348,745","41,272,603 ",Asia,"221,9773",,,"3,225",
