,S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.,
,1,10% Himalayan Bank Debenture 2083,3,1105.50,1105.50,1105.50,100.00,110550.00,1128.00,-22.50 ,                                             ,,
,2,10% Nepal SBI Bank Debenture 2086,3,1050.00,1045.00,1050.00,355.00,371790.00,1045.00,5.00 ,                                            ,,
,3,10% Sanima Bank Limited Debenture,4,1070.00,1049.00,1050.00,180.00,190947.50,1050.00,0.00 ,                                            ,,
,4,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,8,1031.00,1016.00,1016.00,4795.00,4879978.00,1036.10,-20.10 ,                                             ,,
,5,10.25% Sunrise Bank Debenture 2083,1,1030.10,1030.10,1030.10,50.00,51505.00,1040.00,-9.90 ,                                             ,,
,6,10.35% Agricultural Bank Debenture 2083,1,1042.00,1042.00,1042.00,100.00,104200.00,1040.20,1.80 ,                                            ,,
,7,10.50% SBL Debenture 2082,2,1045.00,1040.00,1040.00,100.00,104250.00,1036.30,3.70 ,                                            ,,
,8,11% NIC Asia Debenture 082/83,3,1086.00,1064.30,1064.30,250.00,267010.00,1065.20,-0.90 ,                                             ,,
,9,12% ICFC Finance Limited Debenture 2083,1,1150.00,1150.00,1150.00,100.00,115000.00,1150.00,0.00 ,                                            ,,
,10,8.5% Sanima Debenture 2087,1,983.00,983.00,983.00,30.00,29490.00,990.00,-7.00 ,                                             ,,
,11,8.5% SBL Debenture 2084,2,985.00,985.00,985.00,140.00,137900.00,985.00,0.00 ,                                            ,,
,12,9.5% Manjushree Finance Limited Debenture 2085,1,1005.00,1005.00,1005.00,50.00,50250.00,1005.00,0.00 ,                                            ,,
,13,9.5% NCC Debenture 2086,1,1007.10,1007.10,1007.10,25.00,25177.50,1007.00,0.10 ,                                            ,,
,14,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,70,1615.00,1570.00,1581.00,2650.00,4220975.00,1580.00,1.00 ,                                            ,,
,15,Agriculture Development Bank Limited,858,554.00,538.00,548.50,93937.00,51361611.70,544.00,4.50 ,                                            ,,
,16,Ajod Insurance Limited,287,819.70,803.70,806.00,10682.00,8665098.10,812.10,-6.10 ,                                             ,,
,17,Ankhu Khola Jalvidhyut Company Ltd,189,425.00,388.00,414.00,16244.00,6753198.50,411.00,3.00 ,                                            ,,
,18,Api Power Company Ltd.,3142,578.00,544.00,551.50,424353.00,237515077.20,558.40,-6.90 ,                                             ,,
,19,Arun Kabeli Power Ltd.,1473,669.00,633.10,640.00,181760.00,118197452.50,659.00,-19.00 ,                                             ,,
,20,Arun Valley Hydropower Development Co. Ltd.,2881,760.00,725.00,726.00,811393.00,599936049.10,737.00,-11.00 ,                                             ,,
